"name","value"
"RES_PVP_RANK","0x003A"
"SET_PVP_MAP_INDEX","0x003B"
"ADD_FRIEND","0x003C"
"REMOVE_FRIEND","0x003D"
"DEBUG_COMMAND","0x003E"
"CERA","0x003F"
"BUY_CERASHOP_ITEM","0x0040"
"GEN_CERATICKET","0x0041"
"REQUEST_PVPEXP_OF_WEEK","0x0042"
"GUILD_MEMER_LIST","0x0043"
"CALL_GUILD_CREATE_RIGHT","0x0044"
"SCORE_SCROLL_STATE","0x0045"
"CARD_SELECT_RIGHT_STATE","0x0046"
"SELECT_CARD","0x0047"
"EPLP_COMMAND","0x0048"
"CALL_GUILD_LEVEL_UP","0x0049"
"GUILD_INFO","0x004A"
"REQUEST_GUILD_ENTER","0x004B"
"REQUEST_MEMBER_ENTER","0x004C"
"MEMBER_ENTER_REPLY","0x004D"
"MEMBER_SECEDE","0x004E"
"CALL_MEMER_LIST","0x004F"
"UPGRADE_ITEM","0x0050"
"RESET_ITEM_ATTR","0x0051"
"BUY_PRIVATE_STORE_ITEM","0x0052"
"ENTER_PRIVATE_STORE","0x0053"
"EXIT_PRIVATE_STORE","0x0054"
"CREATE_PRIVATE_STORE","0x0055"
"REMOVE_PRIVATE_STORE","0x0056"
"COMPLETE_DISPLAY","0x0057"
"MOVE_TO_GATE","0x0058"
"MAKE_WARROOM_TEMP","0x0059"
"ENTER_WARROOM","0x005A"
"SET_WARROOM_SEAT_STATE","0x005B"
"DIE_WARROOM_CHARACTER","0x005C"
"START_WARROOM_TEMP","0x005D"
"MAILBOX_SEND","0x005E"
"MAILBOX_EXTRACT_ITEM","0x005F"
"MAILBOX_OPEN","0x0060"
"PEER_CONNECT_RESULT","0x0061"
"QUICK_JOIN_ROOM","0x0062"
"COMPOUND_AVATAR","0x0063"
"RENAME_CREATURE","0x0064"
"RESPONSE_CREATURE","0x0065"
"HATCH_CREATURE","0x0066"
"BUY_AUTOMAT_ITEM","0x0067"
"REQUEST_AVAGACHA_COUPON","0x0068"
"GATHERING_PARTY_STATUS","0x0069"
"WORLD_CUP_HIT_COUNT","0x006A"
"GM_COMMAND","0x006B"
"REPORT_4_HACK","0x006C"
"GUILD_WAR_INFO","0x006D"
"PVP_HEART_BEAT","0x006E"
"CODE_CHECKSUM","0x006F"
"PVP_REQUEST_FIGHT","0x0070"
"MOUSEREGISTER","0x0071"
"CREATURE_SEND_MESSAGE","0x0072"
"TRACE_ERROR","0x0073"
"OTHER_USER_INFO","0x0074"
"BOSS_DIE_CHECK","0x0075"
"REGISITER_TO_BLACKLIST","0x0076"
"DELETE_TO_BLACKLIST","0x0077"
"REQUEST_BLACKLIST","0x0078"
"CHANGE_HOST","0x0079"
"CREATURE_SCRIPT_MESSAGE","0x007A"
"CHARACTER_STATISTIC","0x007B"
"REPORT_CLIENT_SPEC","0x007C"
"GUILDMEMBER_NAMING","0x007D"
"SET_SUB_GUILD_MASTER","0x007E"
"EXCHANGE_SERVER_INFO","0x007F"
"EXCHANGE_SERVER_INFO_RET","0x0080"
"EXCHANGE_SERVER_CHARAC_INFO","0x0081"
"EXCHANGE_SERVER_CHARAC_INFO_RET","0x0082"
"TIME_CHECK","0x0083"
"BACK_2_VILLAGE","0x0084"
"DNF_RADIO_LISTEN","0x0085"
"CHANGE_LETTER_STAT","0x0086"
"CHANGE_CHARAC_NAME","0x0087"
"QUERY_CHARAC_INFO","0x0088"
"REPORT_MANNERLESS_USER","0x0089"
"ALLDIE_MONSTER","0x008A"
"GUILD_MEMER_LIST_NEXT","0x008B"
"GUILD_ALL_MEMBER_LIST","0x008C"
"GUILD_ALL_MEMBER_LIST_NEXT","0x008D"
"RPY_HUMAN_CERTIFY","0x008E"
"CHANGE_TUTORIAL_FLAG","0x008F"
"DIE_AI_CHARACTER","0x0090"
"COMPLETE_LOAD_ASSAULT","0x0091"
"CONNECT_P2P_ASSAULT","0x0092"
"DIE_ASSAULT_PLAYER","0x0093"
"REVIVAL_ASSAULT_PLAYER","0x0094"
"CHANGE_HP","0x0095"
"BVHACKINFO","0x0096"
"CALL_GUILD_INVITE","0x0097"
"REPLY_GUILD_INVITE","0x0098"
"REQ_GUILD_SECEDE","0x0099"
"NOTIFY_MESSAGE_TO_GUILD","0x009A"
"GUILD_MASTER_DELEGATE","0x009B"
"CHECK_GUILD_NAME_DOUBLE","0x009C"
"CHECK_GUILD_ADDREASS_DOUBLE","0x009D"
"OPEN_GUILD_CREATE_WINDOW","0x009E"
"DEATH_TOWER_STAGE_CMD","0x009F"
"USE_BOOSTER_ITEM","0x00A0"
"SECURITY_CARD_ISSUE","0x00A1"
"SECURITY_CARD_DISUSE","0x00A2"
"SECURITY_CARD_AUTH_REQ","0x00A3"
"SECURITY_CARD_AUTH_RPY","0x00A4"
"SECURITY_CARD_CERT_KEY","0x00A5"
"CALL_PARTY_MEMBER_REALTIME_INFO","0x00A6"
"EVADE_ASSAULT","0x00A7"
"AGREE_ENCHANT","0x00A8"
"TRY_ENCHANT","0x00A9"
"PUT_ITEM_FOR_ENCHANT","0x00AA"
"CLIENT_SPEC_STATISTIC","0x00AB"
"SECURITY_CARD_AUTH_CANCEL","0x00AC"
"HATCH_CREATURE_EGG","0x00AD"
"REQUEST_HATCHED_CREATURE","0x00AE"
"REQUEST_CREATURE_COUPON","0x00AF"
"GMDEBUG_COMMAND","0x00B0"
"JOIN_POWER","0x00B1"
"SECEDE_POWER","0x00B2"
"CHANGE_GUILD_NAME","0x00B3"
"SDC_DAMAGE_CHECK","0x00B4"
"SDC_ACTIVESTATUS_CHECK","0x00B5"
"AUCTION_ASK_AVERAGE_PRICE","0x00B6"
"AUCTION_REGIST_ITEM","0x00B7"
"AUCTION_REGIST_CANCEL","0x00B8"
"AUCTION_BIDDING","0x00B9"
"AUCTION_SEARCH_BY_ITEMKEY","0x00BA"
"AUCTION_SEARCH_BY_NOITEMKEY","0x00BB"
"AUCTION_MY_REGISTED_ITEM_INFO","0x00BC"
"AUCTION_MY_BIDDING_INFO","0x00BD"
"AUCTION_MY_AUCTION_HISTORY","0x00BE"
"DUNGEON_EVENT_STORY_PAUSE","0x00BF"
"JOIN_POWER_WAR","0x00C0"
"GOBLIN_PAD_STATUS","0x00C1"
"FRAME_LAG_STATISTICS","0x00C2"
"PVP_CHANNEL_INFO","0x00C3"
"REQUEST_MATCH","0x00C4"
"SAVE_GAME_OPTION_1","0x00C5"
"SAVE_GAME_OPTION_2","0x00C6"
"SECURITY_CARD_RETRANSFER","0x00C7"
"CERA_IDENTIFY","0x00C8"
"USE_EMBLEM","0x00C9"
"DISJOINT_AVATAR","0x00CA"
"BEIJING_OLYMPIC_HIT_COUNT","0x00CB"
"PURIFY_ITEM","0x00CC"
"INVEST_ITEM_AMPLIFY_OPTION","0x00CD"
"ADD_AVATAR_SOCKET","0x00CE"
"SHOP_COIN_EVENT","0x00CF"
"USE_RANDOMBOX_ITEM","0x00D0"
"UDP_CHARACTERISTIC","0x00D1"
"ONEDAY_LETHE","0x00D2"
"DISGUISE_REQUEST","0x00D3"
"DISGUISE_CANCEL","0x00D4"
"REQUEST_PC_ROOM_PLAYER_LIST","0x00D5"
"REQUEST_PC_ROOM_PLAYER_COUNT","0x00D6"
"USE_VENDING_MACHINE","0x00D7"
"ASSERT_INFO","0x00D8"
"OVERFLOW_INFO","0x00D9"
"SERVER_MESSAGE_SEND","0x00DA"
"SERVER_MESSAGE_CHECK","0x00DB"
"TEST_HACKSHIELD_REQUEST","0x00DC"
"HACKSHIELD_CLIENT_RESPONSE","0x00DD"
"GIVE_GIFT_TO_NPC","0x00DE"
"GOBLIN_PAD_RESPONSE_CRYPT_KEY","0x00DF"
"WRITE_GUILD_MEMBER_MEMO","0x00E0"
"SET_PVP_GOLD","0x00E1"
"COMPOUND_CREATURE","0x00E2"
"CHECK_CREATE_GUILD_AGIT","0x00E3"
"CREATE_GUILD_AGIT","0x00E4"
"DELETE_GUILD_AGIT","0x00E5"
"POWER_WAR_INFO","0x00E6"
"UPGRADE_GUILD_AGIT","0x00E7"
"POWER_WAR_PROCESS_INFO","0x00E8"
"HACKSHIELD_MESSAGEBOX_BUG","0x00E9"
"CREATE_DISJOINT_STORE","0x00EA"
"REQUEST_DISJOINT_ITEM","0x00EB"
"REPAIR_DISJOINT_MACHINE","0x00EC"
"TELEPORT","0x00ED"
"COMPOUND_ITEM_BY_EXPERT_JOB","0x00EE"
"GIVEUP_EXPERT_JOB","0x00EF"
"UPGRADE_DISJOINT_MACHINE","0x00F0"
"ENTER_DISJOINT_STORE","0x00F1"
"CLOSE_DISJOINT_STORE","0x00F2"
"REPORT_ABUSE_USER","0x00F3"
"LOAD_COMPLETE_AFTER_ASSAULT","0x00F4"
"CONNECT_P2P_AFTER_ASSAULT","0x00F5"
"CHANGE_NPC_FAVOR_DEBUG","0x00F6"
"GUILD_CARGO_PUSH_ITEM","0x00F7"
"GUILD_CARGO_POP_ITEM","0x00F8"
"GUILD_CARGO_MOVE_ITEM","0x00F9"
"LODING_TIME_REPORT","0x00FA"
"USE_SHARED_EFFECT_ITEM","0x00FB"
"BUY_CERASHOP_LIMIT_ITEM","0x00FC"
"ADD_HACKTYPE_CNT","0x00FD"
"CHANGE_EMOTION","0x00FE"
"DIE_BLOOD_MONSTER","0x00FF"
"COMPOUND_EMBLEM","0x0100"
"MOTION_RESULT","0x0101"
"BLOOD_ROUND_UI_PREPARE_FINISH_","0x0102"
"REQUEST_CONDITION_EVENT_REWARD","0x0103"
"CHANGE_ANOTHER_SKILL_TREE","0x0104"
"GUILD_CARGO","0x0105"
"GUILD_CARGO_HISTORY","0x0106"
"FIGHT_VILLAGE_MONSTER","0x0107"
"FINISH_VILLAGE_MONSTER_FIGHTING","0x0108"
"UPGRADE_GUILD_CARGO","0x0109"
"MOVE_MAP_REPORT","0x010A"
"REQUEST_ITEM_LOCK","0x010B"
"REQUEST_ITEM_UNLOCK","0x010C"
"REQUEST_ITEM_UNLOCK_CANCEL","0x010D"
"REQUEST_ITEM_UNLOCK_OTP","0x010E"
"UPGRADE_CHRONICLE","0x010F"
"ENCHANT_BY_BEAD","0x0110"
"DUNGEON_NPC_BUFF_INFO","0x0111"
"CREATE_WARROOM","0x0112"
"START_WARROOM","0x0113"
"WARROOM_CHANGE_TEAM","0x0114"
"WARROOM_READY","0x0115"
"WARROOM_RANDOM_TEAM","0x0116"
"LAG_STATISTICS","0x0117"
"HT_PS","0x0118"
"HT_IS","0x0119"
"HACK_LEVEL_UP","0x011A"
"PI","0x011B"
"VERIFY_GOLD","0x011C"
"ONTIME_EVENT_REQUEST_REWARD","0x011D"
"REQUEST_ADD_PVP_BUDDY","0x011E"
"RESPONSE_ADD_PVP_BUDDY","0x011F"
"REMOVE_PVP_BUDDY","0x0120"
"PVP_BUDDY_CONN_LIST","0x0121"
"ADD_UNITED_SERVER_FRIEND","0x0122"
"DELETE_UNITED_SERVER_FRIEND","0x0123"
"CHECK_FINISH_LOADING","0x0124"
"NCC","0x0125"
"MI","0x0126"
"CHANGE_CHARAC_SLOT","0x0127"
"SECRET_SHOP_BUY_ITEM","0x0128"
"SECRET_SHOP_OPEN_CLOSE","0x0129"
"COMPLETE_LOAD_PVP","0x012A"
"CONNECT_P2P_PVP","0x012B"
"BIDDING_ROUTING_ITEM","0x012C"
"USE_SAMSUNG_RANDOMBOX_ITEM","0x012D"
"USE_GOBLIN_RANDOMBOX_ITEM","0x012E"
"BREAK_GUILD","0x012F"
"REQUEST_QUEST_AUTO_CLEAR","0x0130"
"CREATE_ACCOUNT_CARGO","0x0131"
"UPGRADE_ACCOUNT_CARGO","0x0132"
"DEPOSIT_MONEY","0x0133"
"WITHDRAW_MONEY","0x0134"
"REDEEM_LIST","0x0135"
"REDEEM","0x0136"
"SECU_DATA_CONTROL","0x0137"
"CONNECT_LINK_CHARAC","0x0138"
"DISCONNECT_LINK_CHARAC","0x0139"
"CHANGE_CHARAC_LINK_TYPE","0x013A"
"MULTI_MAILBOX_SEND","0x013B"
"OPERATE_RIDABLE_OBJECT","0x013C"
"SELECT_ULTIMATE_DIFFICULTY","0x013D"
"PIV","0x013E"
"PID","0x013F"
"ECO_EVENT_ITEM","0x0140"
"ENTER_VIP_ROOM","0x0141"
"GET_DETECTIVE_GOBLIN_ITEM","0x0142"
"USE_CREATURE_EVOLUTION_ITEM","0x0143"
"QUERY_CHARAC_INFO_MAILBOX","0x0144"
"COMPOUND_ITEM_BIND_SHPERE","0x0145"
"USE_RIDABLE","0x0146"
"CANCEL_RIDABLE","0x0147"
"CHANGE_PARTY_POSITION","0x0148"
"ONE_TO_ONE_CHAT_STATE","0x0149"
"FIND_CHAR_NAME_USE_CHARAC_NO","0x014A"
"SKILL_COMMAND_CUSTOMIZING","0x014B"
"SKILL_COMMAND_ALL_DEFAULT","0x014C"
"HACK_SCRIPT_HASH","0x014D"
"AUCTION_BUY_ITEM_APIECE","0x014E"
"CHANGE_PARTY_MEMBER_POSITION","0x014F"
"ACCFF","0x0150"
"SCAN_BOT_BY_DLL","0x0151"
"USE_LIMIT_CUBE","0x0152"
"REFRESH_GUILD_INFO","0x0153"
"OPEN_GUILD_BOARD","0x0154"
"WRITE_ON_THE_GUILDBOARD","0x0155"
"DELETE_GUILDBOARD_TEXT","0x0156"
"REFRESH_GUILDBOARD","0x0157"
"REQUEST_VIDEO_OBSERVER","0x0158"
"STOP_VIDEO_OBSERVER","0x0159"
"DONATE_GUILD_FUND","0x015A"
"CHECK_JOIN_GUILD","0x015B"
"REQUEST_JOIN_GUILD","0x015C"
"CANCEL_JOIN_GUILD","0x015D"
"APPROVE_JOIN_GUILD","0x015E"
"DENY_JOIN_GUILD","0x015F"
"GUILD_JOIN_LIST","0x0160"
"REQUEST_VIDEO_OBSERVER_ERROR","0x0161"
"RESPONSE_VIDEO_OBSERVER","0x0162"
"GUILD_ATTENDANCE_INFO","0x0163"
"PASS_GATE_OBJECT","0x0164"
"DUNGEON_MOTION","0x0165"
"REQUEST_OVERSEER","0x0166"
"INSERT_OVERSEER","0x0167"
"COMPOUND_EQUIPMENT_UPGRADE_CARD","0x0168"
"REFUND_CERA_ITEM","0x0169"
"PICKUP_CERA_ITEM","0x016A"
"CASH_INVENTORY","0x016B"
"BREAK_AWAY_QUEST_CHECK","0x016C"
"JOIN_GUILD_INFO","0x016D"
"SCAN_BOT_BY_DRV","0x016E"
"ASK_REMATCH","0x016F"
"SAVE_GAME_OPTION_QUICKCHATTING","0x0170"
"SELECT_3RD_CHRONICLE_ITEM_FOR_ENCHANT","0x0171"
"ENCHANT_3RD_CHRONICLE_ITEM","0x0172"
"GOLD_TAKE_INCREASING_AMOUNT","0x0173"
"USE_HACK_BY_OTHER_PARTY_MEMBER_UID","0x0174"
"CHECK_SECURITY_PROTECTION","0x0175"
"INTEGRATE_MATCH_PVP_SCORE","0x0176"
"FAIR_PVP_SCORE","0x0177"
"PVP_MISSION_HP_PERCENT","0x0178"
"PVP_MISSION_WIN_POSE","0x0179"
"WARROOM_WP_PER_MONSTER","0x017A"
"SET_LABYRINTH_READY_STATE","0x017B"
"SET_LABYRINTH_SEAT_STATE","0x017C"
"REQUEST_LABYRINTH_MONSTER_UID","0x017D"
"FINISH_LOADING_LABYRINTH","0x017E"
"DIE_LABYRINTH_MONSTER","0x017F"
"DESTROY_LABYRINTH_OBJECT","0x0180"
"DIE_LABYRINTH_CHARACTER","0x0181"
"DESTROY_LABYRINTH_CENTER_OBJECT","0x0182"
"REQUEST_DUNGEON_PARTY_LIST","0x0183"
"REGISTER_CARGO_PAD","0x0184"
"MODIFY_CARGO_PAD","0x0185"
"UNREGISTER_CARGO_PAD","0x0186"
"CANCEL_CARGO_PAD","0x0187"
"CARGO_PAD_STATUS","0x0188"
"CARGOPAD_KEY_REQ","0x0189"
"CARGOPAD_CERTIFY","0x018A"
"REQUEST_VIDEO_OBSERVER_LOG","0x018B"
"ABNORMAL_FUNCTION_CALL","0x018C"
"EQUIPSLOT_SWITCH","0x018D"
"EXPAND_EQUIPSLOT_FLAG_UPDATE","0x018E"
"BUY_CHARAC_STATUS_USING_QP","0x018F"
"CLEAR_USED_QP","0x0190"
"UNSEAL_RANDOM_OPTION","0x0191"
"MOBILE_REQ_AUTH_NO","0x0192"
"MOBILE_REQ_VERIFY_AUTH_NO","0x0193"
"CHANGE_HOST_WARROOM","0x0194"
"VERIFY_PRIVATE_STORE_ITEM","0x0195"
"SELECT_ITEM","0x0196"
"REGENERATION_RANDOM_OPTION","0x0197"
"UPGRADE_CARGO","0x0198"
"SELECT_IDOL_POT","0x0199"
"IDOL_BRING_UP","0x019A"
"PVP_MISSION_COMBO","0x019B"
"TITLE_BOOK_PUT","0x019C"
"TITLE_BOOK_GET","0x019D"
"MONSTERCARD_BIND","0x019E"
"CHARAC_SLOT_EXTEND_EFFECT","0x019F"
"EXPERT_EXTRACTION","0x01A0"
"ACHIEVEMENT_TRIGGER","0x01A1"
"REQUEST_EVENT_SERVER_LEVEL_UP","0x01A2"
"CREATE_GROUP","0x01A3"
"INVITE_MEMBER_FOR_GROUP","0x01A4"
"LEAVE_FROM_GROUP","0x01A5"
"CHANGE_GROUP_CHAT_USER_STATE","0x01A6"
"EVENT_ALL_USER_GIFT","0x01A7"
"OTHER_USER_TITLE_BOOK_LIST","0x01A8"
"ITEM_HYPERLINK_MESSAGE","0x01A9"
"USER_HISTORY_LOG","0x01AA"
"REFUND_SKILL","0x01AB"
"REGISTER_PLAYER","0x01AC"
"ATTENDANCE_CHECK","0x01AD"
"REQUEST_GOBLIN_PAD_IMG","0x01AE"
"UPGRADE_INVENTORY","0x01AF"
"SELECT_ITEM_GROWTH_POWER","0x01B0"
"REQUEST_SERIA_BUFF","0x01B1"
"USE_CHESTNUT_STONE_ITEM","0x01B2"
"PARTY_TELEPORT","0x01B3"
"PARTY_TELEPORT_CONFIRM","0x01B4"
"ABNORMAL_USE_STACKABLE","0x01B5"
"CHANGE_RANDOM_OPTION","0x01B6"
"UPGRADE_ITEM_SEPARATE","0x01B7"
"ITEM_DICTIONARY","0x01B8"
"MERCENARY_RETURN","0x01B9"
"MERCENARY_INFO","0x01BA"
"MERCENARY_COMPETITION","0x01BB"
"REGISTER_QUICK_PARTY","0x01BC"
"CANCEL_QUICK_PARTY","0x01BD"
"DIRECT_ENTRANCE_DUNGEON_QUICK_PARTY","0x01BE"
"REQUEST_ASSAULT_PRICE","0x01BF"
"SAVE_CHARACTER_OPTION","0x01C0"
"EXCHANGE_RANDOM_ITEM_REWARD","0x01C1"
"AVATAR_DISJOINT_RANDOM_REWARD","0x01C2"
"CHECK_3RDPARTY_CONCENT","0x01C3"
"LOGGING_CRYPTED_TYPE","0x01C4"
"FLOAT_RDATA_MODULATION","0x01C5"
"REQ_URGENT_QUEST","0x01C6"
"INSERT_RANDOM_OPTION_ITEM","0x01C7"
"RESET_RANDOM_OPTION","0x01C8"
"CLEAR_QUEST","0x01C9"
"TOURNAMENT_REWARD_SELECT_STATE","0x01CA"
"TOURNAMENT_REWARD_SELECT","0x01CB"
"AVATAR_OPTION_CHANGE","0x01CC"
"CHARACTER_STATUS","0x01CD"
"REQUEST_SOCIAL_EVENT_COIN_ITEM","0x01CE"
"REQUEST_SOCIAL_EVENT_MEMBER","0x01CF"
"RESPONSE_SOCIAL_EVENT_MEMBER","0x01D0"
"LIMIT_NPC_BUY_ITEM","0x01D1"
"QUERY_CHARAC_INFO_ADD_DATA","0x01D2"
"_3_MONTH_STOP_STATISTIC","0x01D3"
"SERIA_ROOM_DECO_INFO","0x01D4"
"OBJECT_BRING_UP_USE_ITEM","0x01D5"
"PRECHECK_SOLO_TELEPOART","0x01D6"
"SOLO_TELEPOART","0x01D7"
"_2012_NEWEVENT_PUTITEM","0x01D8"
"SAVE_GAME_OPTION_CHATTING_EMOTICON","0x01D9"
"REPORT_CLIENT_HACK","0x01DA"
"RDATA_SECTION_MODULATION","0x01DB"
"IMAGE_COMMUNICATION_EQUIPMENT_USE","0x01DC"
"COMPATIBILITY_INDEX","0x01DD"
"INFORM_NOTICE","0x01DE"
"P2P_STATISTICS","0x01DF"
"VERIFY_CREATURE_QUEST","0x01E0"
"REPORT_PVP_LAG","0x01E1"
"VERIFY_PVP_LAG_USER","0x01E2"
"COLLECT_ITEMS","0x01E3"
"TUTORIAL_LEVEL_UP","0x01E4"
"REQUEST_CHARAC_SKILL_INFO","0x01E5"
"CRANE_START_USE","0x01E6"
"CRANE_PICKUP","0x01E7"
"SELECT_STRIKER","0x01E8"
"REQUEST_INGAME_ADVERTISEMENT","0x01E9"
"LOG_INGAME_ADVERTISEMENT","0x01EA"
"AUTO_SKILL","0x01EB"
"SKILL_INIT","0x01EC"
"PC_ROOM_PLAY_TIME_REWARD","0x01ED"
"PC_ROOM_RENT_ITEM","0x01EE"
"SERIAROOM_DECO_EVENT","0x01EF"
"BLUE_MARBLE","0x01F0"
"GET_GROWTHCAPSULE","0x01F1"
"DYNAMIC_SCRIPT_RELOADING","0x01F2"
"USE_DYE","0x01F3"
"PVP_HISTORY_LOG","0x01F4"
"PVP_USE_SKILL","0x01F5"
"ON_TIME_EVENT_WHILE_ONE_HOUR_GIFT","0x01F6"
"USE_RIGHT_OF_CHANGE_GROW_TYPE","0x01F7"
"INFORM_NOTICE_2ND","0x01F8"
"GROWTH_WEAPON_CHANGE_INFINITY","0x01F9"
"GROWTH_WEAPON_USE_MATERIAL","0x01FA"
"SAVE_QUEST_NOTIFY","0x01FB"
"BLUE_MARBLE_CONFIRM_INFO","0x01FC"
"COMBO_SKILL_INFO","0x01FD"
"USE_RENAME_CARD","0x01FE"
"COMBO_SKILL_EXTENSION_QUICK_SLOT_RESET","0x01FF"
"EQUIPED_CREATURE_CHANGE_INFINITY_CREATURE","0x0200"
"SERIAROOM_ANIMATION_DECO_EVENT","0x0201"
"BINGO_REWARD","0x0202"
"BINGO_QUIZ","0x0203"
"USE_STACKABLE_ACTION","0x0204"
"DUAL_RAID_DUNGEON_JOIN","0x0205"
"DUAL_RAID_DUNGEON","0x0206"
"OPEN_CERAPACKAGE","0x0207"
"GET_ITEMBOX","0x0208"
"REQUEST_INTEGRATED_MATCHING","0x0209"
"CANCEL_INTEGRATED_MATCHING","0x020A"
"MATCHING_DUNGEON_EXIT","0x020B"
"CHANNEL_MOVE_SUCCESS","0x020C"
"REQUEST_EVENT_RANKING","0x020D"
"ADD_EVENT_RANKING","0x020E"
"REQUEST_COLOSSEUM_PURCHASE_TICKET","0x020F"
"REQUEST_UPDATE_COLOSSEUM_REWARD","0x0210"
"SUMMON_MONSTER","0x0211"
"RACING_DUNGEON_JOIN","0x0212"
"RACING_DUNGEON_DISJOIN","0x0213"
"RACING_DUNGEON_GOAL_IN_PLAYER","0x0214"
"RACING_DUNGEON_RETURN_TO_VILLAGE","0x0215"
"DUAL_RAID_DUNGEON_READY","0x0216"
"DUAL_RAID_DUNGEON_REWARD","0x0217"
"UPDATE_CONTRACT_OF_CUBE_INFO","0x0218"
"REQUEST_FREELY_GIVE_ITEM_BOX","0x0219"
"REQUEST_COUPON_CHANGE","0x021A"
"USE_FREE_GIVE_ITEM_COUPON","0x021B"
"CHANGE_PERIODIC_TO_UNLIMIT_ITEM","0x021C"
"INIT_FREE_GIVE_ITEM_EVENT","0x021D"
"SELECT_ZOMBIE","0x021E"
"TO_BE_ZOMBIE","0x021F"
"ZOMBIE_MODE_RESULT_SCORE","0x0220"
"DECIDE_TIME_STEP_ATTENDANCE","0x0221"
"ENUM_CMDACKET_SCORING_COMPUTATION","0x0222"
"REQUEST_FOR_PARTICIPATION","0x0223"
"MONSTER_MOVE_SYSTEM","0x0224"
"KIRI_CARGO_PURCHASE","0x0225"
"KIRI_CARGO_GET_BONUS","0x0226"
"PVP_TOURNAMENT_MATCH_LIST","0x0227"
"PVP_TOURNAMENT_REQUEST","0x0228"
"LOADING_CART","0x0229"
"GOLDEN_COMMERCE_START","0x022A"
"GOLDEN_COMMERCE_REWARD","0x022B"
"CREATURE_FILLPOINT","0x022C"
"CHURN_GRADE_ACTION_CLEAR","0x022D"
"CARGO_TRANSPORT_ITEM","0x022E"
"DUNGEON_MISSION_START","0x022F"
"DUNGEON_MISSION_UPDATE","0x0230"
"DUNGEON_MISSION_CHECK_SUCCESS","0x0231"
"REQUEST_INSTANT_REINFORCE","0x0232"
"FATIGUE_ACCELERATION_STATE_CHANGE","0x0233"
"MINORITY_DETAIL_RESULT","0x0234"
"MINORITY_REQUEST_QUESTION","0x0235"
"MINORITY_QUESTION_ANSWER","0x0236"
"MINORITY_REQUIRE_REWARD","0x0237"
"DECIDE_LEVELUP","0x0238"
"SET_CLONE_TITLE","0x0239"
"SURVEY_CONTENTS","0x023A"
"INTEGRATE_MATCHING_DIRECT_COMPLETE","0x023B"
"INTEGRATED_MATCHING_MODE_CHANGE","0x023C"
"INTEGRATE_MATCHING_USER_COUNT","0x023D"
"COLLECT_PRIVATE_DATA","0x023E"
"COLLECT_PRIVATE_SERIAL_DATA","0x023F"
"COLLECT_PRIVATE_NO_REPLAY","0x0240"
"CREATE_UPGRADE_ROOM","0x0241"
"DESTROY_UPGRADE_ROOM","0x0242"
"JOIN_SPECTATOR_UPGRADE_ROOM","0x0243"
"LEAVE_SPECTATOR_UPGRADE_ROOM","0x0244"
"UPGRADE_ROOM_GIVE_ITEM_INFO","0x0245"
"MODULE_EXIST","0x0246"
"MODULE_REQUEST","0x0247"
"REQUEST_COMBO_SCORE","0x0248"
"COMBO_SCORE_INFO","0x0249"
"ADD_RAINBOW_POINT","0x024A"
"REQUEST_RAINBOW_POINT","0x024B"
